name;stars;contributors;commits;sbom_code;URL;path;dependencies;licenses;critical;high;medium;low;quality;format;version
github.com/sthagen/sixties;1;0;0;ksozajrpjn33z1l5jrw3.json;https://github.com/sthagen/sixties/blob/303fff7b07f674df447eac8f09b8f36984b7bb1d/etc/sbom/spdx.json;etc/sbom/spdx.json;1;0;0;0;0;0;6.96;JSON;SPDX
github.com/sthagen/sixties;1;0;0;6vrblg5z0ne4ttlvg1d4.spdx;https://github.com/sthagen/sixties/blob/303fff7b07f674df447eac8f09b8f36984b7bb1d/etc/sbom/spdx.spdx;etc/sbom/spdx.spdx;0;0;0;0;0;0;6.96;SPDX;SPDX
github.com/sthagen/sixties;1;0;0;yt1prlgwf0xmdh0v136l.json;https://github.com/sthagen/sixties/blob/303fff7b07f674df447eac8f09b8f36984b7bb1d/etc/sbom/cdx.json;etc/sbom/cdx.json;1;0;0;0;0;0;5.65;JSON;CycloneDX
github.com/sthagen/spdx-lint;1;0;0;t3zl73w9ow1cqhnbq028.yaml;https://github.com/sthagen/spdx-lint/blob/89c072f4a2a0e2c5ec5e5fc380375aa17ae3d967/etc/sbom/spdx.yaml;etc/sbom/spdx.yaml;3;0;0;0;0;0;6.96;YAML;SPDX
github.com/sthagen/spdx-lint;1;0;0;1aaralsppnrwtfhc9lgc.json;https://github.com/sthagen/spdx-lint/blob/89c072f4a2a0e2c5ec5e5fc380375aa17ae3d967/etc/sbom/spdx.json;etc/sbom/spdx.json;3;0;0;0;0;0;6.96;JSON;SPDX
github.com/sthagen/spdx-lint;1;0;0;gn6g1emtlccoyduz7nyf.spdx;https://github.com/sthagen/spdx-lint/blob/89c072f4a2a0e2c5ec5e5fc380375aa17ae3d967/etc/sbom/spdx.spdx;etc/sbom/spdx.spdx;0;0;0;0;0;0;6.96;SPDX;SPDX
github.com/sthagen/spdx-lint;1;0;0;yu1armppq4gj7a0e45ir.json;https://github.com/sthagen/spdx-lint/blob/89c072f4a2a0e2c5ec5e5fc380375aa17ae3d967/etc/sbom/cdx.json;etc/sbom/cdx.json;3;0;0;0;0;0;5.65;JSON;CycloneDX
github.com/sthagen/stativ;1;0;0;0vxomqc960a9ye8k7pn9.yaml;https://github.com/sthagen/stativ/blob/af8451548806420287da108d3e663f824e7d02af/etc/sbom/spdx.yaml;etc/sbom/spdx.yaml;2;0;0;0;0;0;6.96;YAML;SPDX
github.com/sthagen/stativ;1;0;0;poscd4k92mzvctx658zm.json;https://github.com/sthagen/stativ/blob/af8451548806420287da108d3e663f824e7d02af/etc/sbom/spdx.json;etc/sbom/spdx.json;2;0;0;0;0;0;6.96;JSON;SPDX
github.com/sthagen/stativ;1;0;0;o7jne8q72d3kifb2jtss.spdx;https://github.com/sthagen/stativ/blob/af8451548806420287da108d3e663f824e7d02af/etc/sbom/spdx.spdx;etc/sbom/spdx.spdx;0;0;0;0;0;0;6.96;SPDX;SPDX
github.com/sthagen/stativ;1;0;0;g0njiqvuc0qmavwp7jtk.json;https://github.com/sthagen/stativ/blob/af8451548806420287da108d3e663f824e7d02af/etc/sbom/cdx.json;etc/sbom/cdx.json;2;0;0;0;0;0;5.65;JSON;CycloneDX
github.com/sthagen/subtractor;1;0;0;d4ecf2gxqw04o19h9iuo.yaml;https://github.com/sthagen/subtractor/blob/a446ee0579876f9060a0f55d7aa305a1e38bf293/etc/sbom/spdx.yaml;etc/sbom/spdx.yaml;4;0;0;0;0;0;6.96;YAML;SPDX
github.com/sthagen/subtractor;1;0;0;6e5ssquz5ieqxpsg30eo.json;https://github.com/sthagen/subtractor/blob/a446ee0579876f9060a0f55d7aa305a1e38bf293/etc/sbom/spdx.json;etc/sbom/spdx.json;4;0;0;0;1;0;6.96;JSON;SPDX
github.com/sthagen/subtractor;1;0;0;qo8ydgx3rmx2n65gphbs.spdx;https://github.com/sthagen/subtractor/blob/a446ee0579876f9060a0f55d7aa305a1e38bf293/etc/sbom/spdx.spdx;etc/sbom/spdx.spdx;0;0;0;0;1;0;6.96;SPDX;SPDX
